hk,,,,,,kk,,,,,,kvk,,,,,
et,,,ft,,,et,,,ft,,,et,,,ft,,
et_hk_nf,et_hk_þf,et_hk_þgf_gr,ft_hk_nf,ft_hk_þf,ft_hk_þgf,et_kk_nf,et_kk_þf,et_kk_þgf_gr,ft_kk_nf,ft_kk_þf,ft_kk_þgf,et_kvk_nf,et_kvk_þf,et_kvk_þgf_gr,ft_kvk_nf,ft_kvk_þf,ft_kvk_þgf
,,,,,,Bandaríkjadalur,Bandaríkjadal,Bandaríkjadalnum,Bandaríkjadalir,Bandaríkjadali,Bandaríkjadölum,,,,,,
,,,,,,Dalur,Dal,dalnum,dalir,dali,dölum,,,,,,
Sterlingspund,Sterlingspund,Sterlingspundinu,Sterlingspund,Sterlingspund,Sterlingspundum,,,,,,,,,,,,
pund,pund,pundinu,pund,pund,pundum,,,,,,,,,,,,
,,,,,,Kanadadalur,Kanadadal,Kanadadalnum,Kanadadalir,Kanadali,Kandadölum,,,,,,
,,,,,,,,,,,,dönsk króna,danska krónu,dönsku krónunni,danskar krónur,danskar krónur,dönskum krónum
,,,,,,,,,,,,norsk króna,norska krónu,norsku krónunni,norskar krónur,norskar krónur,norskum krónum
,,,,,,,,,,,,sænsk króna,sænska krónu,sænsku krónunni,sænskar krónur,sænskar krónur,sænskum krónum
,,,,,,,,,,,,króna,krónu,krónunni,krónur,krónur,krónum
,,,,,,svissneskur franki,svissneskan franka,svissneskum frankanum,svissneskir frankar,svissneska franka,svissneskum frönkum,,,,,,
,,,,,,franki,franka,frankanum,frankar,franka,frönkum,,,,,,
Japanskt jen,Japanskt jen,Japanska jeninu,Japönsk jen,Japönsk jen,Japönskum jenum,,,,,,,evra,evru,evrunni,evrur,evrur,evrum
jen,jen,jeninu,jen,jen,jenum,,,,,,,,,,,,
Kínverskt júan,Kínverskt júan,Kínverska júaninu,Kínversk júön,kínversk júön,kínverskum júönum,,,,,,,,,,,,
júan,júan,júaninu,júön,júön,júönum,,,,,,,,,,,,
,,,,,,Nýsjálenskur dalur,Nýsjálenskan dal,Nýsjálenska dalnum,Nýsjálenskir dalir,Nýsjálenska dali,Nýsjálenskum dölum,,,,,,
,,,,,,,,,,,,tékknesk króna,tékkneska krónu,tékknesku krónunni,tékkneskar krónur,tékkneskar krónur,tékkneskum krónum
,,,,,,,,,,,,tyrknesk líra,tyrkneska líru,tyrknesku lírunni,tyrkneskar lírur,tyrkneskar lírur,tyrkneskum lírum
,,,,,,,,,,,,líra,líru,lírunni,lírur,lírur,lírum
pólskt slot,pólskt slot,pólska slotinu,pólsk slot,pólsk slot,pólskum slotum,,,,,,,,,,,,
slot,slot,slotinu,slot,slot,slotum,,,,,,,,,,,,
suðurkóreskt vonn,suðurkóreskt vonn,suðurkóreska vonninu,suðurkóresk vonn,suðurkóresk vonn,suðurkóreskum vonnum,,,,,,,,,,,,
vonn,vonn,vonninu,vonn,vonn,vonnum,,,,,,,,,,,,
,,,,,,ísraelskur sikill,ísraelskan sikil,ísraelska siklinum,ísraelskir siklar,ísraelska sikla,ísraelskum siklum,,,,,,
,,,,,,sikill,sikil,siklinum,siklar,sikla,siklum,,,,,,
,,,,,,singapúrskur Dalur,singapúrskan Dal,singapúrska dalnum,singapúrskir dalir,singapúrska dali,singapúrskum dölum,,,,,,
,,,,,,mexíkóskur pesi,mexíkóskan pesa,mexíkóska pesanum,mexíkóskir pesar,mexíkóska pesa,mexíkóskum pesum,,,,,,
,,,,,,pesi,pesa,pesanum,pesar,pesa,pesum,,,,,,
,,,,,,,,,,,,indversk rúpía,indverska rúpíu,indversku rúpíunni,indverskar rúpíur,indverskar rúpíur,indverskum rúpíum
,,,,,,,,,,,,rúpía,rúpíu,rúpíunni,rúpíur,rúpíur,rúpíum
búlgarskt lef,búlgarskt lef,búlgarska lefinu,búlgörsk lef,búlgörsk lef,búlgörskum lefum,,,,,,,,,,,,
brasilískt ríal,brasilískt ríal,brasilíska ríalinu,brasilísk ríöl,brasilísk ríöl,brasilískum ríölum,,,,,,,,,,,,
taílenskt bat,taílenskt bat,taílenska batinu,taílensk böt,taílensk böt,taílenskum bötum,,,,,,,,,,,,
lef,lef,lefinu,lef,lef,lefum,,,,,,,,,,,,
ríal,ríal,ríalinu,ríöl,ríöl,ríölum,,,,,,,,,,,,
bat,bat,batinu,böt,böt,bötum,,,,,,,,,,,,
,,,,,,jamaískur Dalur,jamaískan Dal,jamaíska dalnum,jamaískir dalir,jamaíska dali,jamaískum dölum,,,,,,
sádiarabískt ríal,sádiarabískt ríal,sádiarabíska ríalinu,sádiarabísk ríöl,sádiarabísk ríöl,sádiarabískum ríölum,,,,,,,,,,,,
suðurafrískt rand,suðurafrískt rand,suðurafríska randinu,suðurafrísk rönd,suðurafrísk rönd,suðurafrískum röndum,,,,,,,,,,,,
,,,,,,ástralskur Dalur,ástralskan Dal,ástralska dalnum,ástralskir dalir,ástralska dali,áströlskum dölum,,,,,,
,,,,,,,,,,,,króatísk kúna,króatíska kúnu,króatísku kúnunni,króatískar kúnur,króatískar kúnur,króatískum kúnum
,,,,,,,,,,,,nígerísk næra,nígeríska næru,nígerísku nærunni,nígerískar nærur,nígerískar nærur,nígerískum nærum
,,,,,,súrínamskur Dalur,súrínamskan Dal,súrínamska dalnum,súrínamskir dalir,súrínamska dali,súrínömskum dölum,,,,,,
,,,,,,Hong Kong Dalur,Hong Kong Dal,Hong Kong dalnum,Hong Kong dalir,Hong Kong dali,Hong Kong dölum,,,,,,
,,,,,,,,,,,,ungversk fórinta,ungverska fórintu,ungversku fórintunni,ungverskar fórintur,ungverskar fórintur,ungverskum fórintum
